claim_text,source_file,source_cell_or_row,value
Robustness (exclude-COVID): Bonferroni-significant pairs,/home/claude/writeup/repo/outputs/tables/robustness_excl_covid_lower.csv,significant_bonferroni==True,[]
Rolling t-copula rho range: Cocoa–Gold,/home/claude/writeup/repo/outputs/tables/rolling_t_copula.csv,pair=Cocoa–Gold,"[-0.050, 0.211] over 132 windows, 2015-12-22 to 2026-07-08"
Rolling t-copula rho range: Cocoa–Brent,/home/claude/writeup/repo/outputs/tables/rolling_t_copula.csv,pair=Cocoa–Brent,"[-0.094, 0.323] over 132 windows, 2015-12-22 to 2026-07-08"
Rolling t-copula rho range: Cocoa–Cedi,/home/claude/writeup/repo/outputs/tables/rolling_t_copula.csv,pair=Cocoa–Cedi,"[-0.146, 0.165] over 132 windows, 2015-12-22 to 2026-07-08"
Rolling t-copula rho range: Brent–Cedi,/home/claude/writeup/repo/outputs/tables/rolling_t_copula.csv,pair=Brent–Cedi,"[-0.112, 0.110] over 132 windows, 2015-12-22 to 2026-07-08"
Pairs covered by rolling t-copula,/home/claude/writeup/repo/outputs/tables/rolling_t_copula.csv,unique(pair),"['Brent–Cedi', 'Cocoa–Brent', 'Cocoa–Cedi', 'Cocoa–Gold']"
Pairs NOT covered by rolling t-copula,inferred: set of all 10 pairs minus rolling_t_copula.csv coverage,,"Cocoa-WTI, Gold-Brent, Gold-WTI, Gold-Cedi, Brent-WTI, WTI-Cedi (6 of 10 pairs)"
"Lambda matrix, calm periods (full 5x5)",/home/claude/writeup/repo/outputs/tables/lambda_matrix_calm.csv,full matrix,"{'Cocoa': {'Cocoa': 1.0, 'Gold': 0.083, 'Brent': 0.136, 'WTI': 0.128, 'Cedi': 0.038}, 'Gold': {'Cocoa': 0.083, 'Gold': 1.0, 'Brent': 0.09, 'WTI': 0.113, 'Cedi': 0.053}, 'Brent': {'Cocoa': 0.136, 'Gold': 0.09, 'Brent': 1.0, 'WTI': 0.723, 'Cedi': 0.053}, 'WTI': {'Cocoa': 0.128, 'Gold': 0.113, 'Brent': 0.723, 'WTI': 1.0, 'Cedi': 0.038}, 'Cedi': {'Cocoa': 0.038, 'Gold': 0.053, 'Brent': 0.053, 'WTI': 0.038, 'Cedi': 1.0}}"
"Lambda matrix, 2024 cocoa-shock window (full 5x5)",/home/claude/writeup/repo/outputs/tables/lambda_matrix_2024.csv,full matrix,"{'Cocoa': {'Cocoa': 1.0, 'Gold': 0.0, 'Brent': 0.076, 'WTI': 0.076, 'Cedi': 0.153}, 'Gold': {'Cocoa': 0.0, 'Gold': 1.0, 'Brent': 0.076, 'WTI': 0.076, 'Cedi': 0.0}, 'Brent': {'Cocoa': 0.076, 'Gold': 0.076, 'Brent': 1.0, 'WTI': 0.916, 'Cedi': 0.0}, 'WTI': {'Cocoa': 0.076, 'Gold': 0.076, 'Brent': 0.916, 'WTI': 1.0, 'Cedi': 0.0}, 'Cedi': {'Cocoa': 0.153, 'Gold': 0.0, 'Brent': 0.0, 'WTI': 0.0, 'Cedi': 1.0}}"
Brent-WTI lambda: calm vs 2024-window,/home/claude/writeup/repo/outputs/tables/lambda_matrix_calm.csv & lambda_matrix_2024.csv,"[Brent,WTI]","calm=0.723, 2024=0.916"
Transmission regressions (all 9 regressor-target rows),/home/claude/writeup/repo/outputs/tables/transmission_regressions.csv,all rows,"[{'target': 'cedi_depreciation', 'n': 127, 'regressor': 'joint_days_t', 'coef': 0.0152, 'hac_p': 0.9689, 'r2': 0.0046}, {'target': 'cedi_depreciation', 'n': 127, 'regressor': 'joint_days_t1', 'coef': 0.0874, 'hac_p': 0.8936, 'r2': 0.0046}, {'target': 'cedi_depreciation', 'n': 127, 'regressor': 'lambda_t1', 'coef': 43.4274, 'hac_p': 0.2205, 'r2': 0.0046}, {'target': 'd_cpi_yoy', 'n': 96, 'regressor': 'joint_days_t', 'coef': 0.154, 'hac_p': 0.8529, 'r2': 0.001}, {'target': 'd_cpi_yoy', 'n': 96, 'regressor': 'joint_days_t1', 'coef': 0.1302, 'hac_p': 0.8589, 'r2': 0.001}, {'target': 'd_cpi_yoy', 'n': 96, 'regressor': 'lambda_t1', 'coef': -15.7781, 'hac_p': 0.7976, 'r2': 0.001}, {'target': 'exports_growth', 'n': 88, 'regressor': 'joint_days_t', 'coef': -0.1569, 'hac_p': 0.9126, 'r2': 0.0685}, {'target': 'exports_growth', 'n': 88, 'regressor': 'joint_days_t1', 'coef': -2.0647, 'hac_p': 0.2202, 'r2': 0.0685}, {'target': 'exports_growth', 'n': 88, 'regressor': 'lambda_t1', 'coef': 232.0401, 'hac_p': 0.0109, 'r2': 0.0685}]"
Only significant transmission regressor,/home/claude/writeup/repo/outputs/tables/transmission_regressions.csv,row: exports_growth/lambda_t1,"coef=232.0401, hac_p=0.0109, r2=0.0685 (n=88); 1 of 9 tests -> likely noise given ~70 tests across stages 4-6"
WTI-Cedi small-sample artifact: raw co-exceedance count,DECISIONS.md 'Interpretation of the Stage 4 Bonferroni-significant result',,349-day combined stress window (COVID+2024) yields ~17 raw obs per 5% tail; stress lambda point estimate = 0.0 (0 co-exceedances in 17-vs-17 comparison)
Pseudo-observation ties check (no ties confound),DECISIONS.md,,349 unique pseudo-obs values in stress window confirmed -- not a tie/data-encoding artifact
Exclude-COVID robustness resolves WTI-Cedi,/home/claude/writeup/repo/outputs/tables/robustness_excl_covid_lower.csv,row=WTI-Cedi,"difference=-0.0598, significant_5pct=False, significant_bonferroni=False (was True at q=0.05 with COVID included)"
"December 2022 cedi appreciation move, exact values",data/raw/bog/bog_historical_interbank_fx_usdghs.csv (direct read),2022-12-05 to 2022-12-20,12.8950 (2022-12-08) -> 8.0015 (2022-12-15) -> 8.0012 (2022-12-16); stabilizes ~8.00 thereafter
"Synthetic validation run (freshly regenerated in this session via scripts/00_generate_synthetic_data.py + 02_run_pipeline.py --data synthetic, since no synthetic-run tables were present in the downloaded repo snapshot)",outputs/tables/summary.json (regenerated),full summary,"{""data"": ""synthetic"", ""series"": [""cocoa"", ""gold"", ""brent"", ""wti"", ""cedi""], ""n_obs"": 2997, ""period"": [""2015-01-05"", ""2026-06-30""], ""evt_xi"": {""Cocoa"": -0.010647604677992232, ""Gold"": 0.02323682175186796, ""Brent"": 0.11101438582706356, ""WTI"": 0.10526939401426319, ""Cedi"": 0.08946156435155818}, ""best_copula_by_pair"": {""Cocoa\u2013Gold"": ""t"", ""Cocoa\u2013Brent"": ""t"", ""Cocoa\u2013WTI"": ""t"", ""Cocoa\u2013Cedi"": ""t"", ""Gold\u2013Brent"": ""t"", ""Gold\u2013WTI"": ""t"", ""Gold\u2013Cedi"": ""t"", ""Brent\u2013WTI"": ""t"", ""Brent\u2013Cedi"": ""t"", ""WTI\u2013Cedi"": ""t""}, ""mean_lambda_L_calm"": 0.18202416918429004, ""mean_lambda_L_stress"": 0.3123209169054441, ""n_pairs_significant_increase"": 5, ""n_pairs_total"": 10}"
"Brent-WTI rolling nonparametric empirical lambda_L range (correction: IS covered by rolling analysis, just not the t-copula one)",outputs/tables/rolling_lambda_L.csv,column=Brent–WTI,"range [0.560, 0.880] over 2748 daily-stepped 250-day windows, 2015-12-18 to 2026-06-30"
